name	2016-05-20	2016-05-21	2016-05-22	2016-05-23	2016-05-24	2016-05-25	2016-05-26	2016-05-27	2016-05-28	2016-05-29	2016-05-30	2016-05-31	2016-06-01	2016-06-02	2016-06-03	2016-06-04	2016-06-05	2016-06-06	2016-06-07	2016-06-08	2016-06-09	2016-06-10	2016-06-11	2016-06-12	2016-06-13	2016-06-14
周润发	10781	12755	12847	11319	10717	9778	10830	11076	11949	11545	9372	10266	9335	9791	10792	11609	12608	11184	10556	11123	11002	10980	10390	10488	9716	8972
韩剧	10731	14259	13906	7972	8502	14113	16631	20585	24675	23157	13385	22284	19223	19270	23036	27350	27969	20278	21416	23712	29044	28076	27014	19504	20104	21702
名侦探柯南	10603	14769	14881	8111	8658	8647	8796	10942	15786	15049	8290	8672	9058	10523	11574	14938	18467	12522	11821	12722	15800	14977	13811	10791	8917	9444
恶作剧之吻	10573	11327	8933	6227	5841	5568	5235	5765	7241	6361	3591	4163	3926	3858	4203	4606	4552	3412	3383	3536	4318	4219	4268	3453	2971	2990
笨蛋爱上两个你	10349	16160	14477	8156	7599	7864	6669	5891	7330	6112	3382	3644	3720	3591	4441	5630	5598	4142	4239	4775	5738	5468	5118	4408	3890	3632
魔女宝鉴	9847	16765	18580	11114	8345	6723	7506	11586	17851	22428	11564	9717	9063	8746	10222	17745	22531	9461	4176	2448			3247	3778	2028	8732
神盾局特工第三季	9792	8998	7162	4667	4282	4326	4482	3973	3835	3356	2530	2465	2315	2356	2401	2519	2550	2277	2217	2112						1750
新婚公寓	9505	10118	9633	6224	7329	6494	5354	5422	5620	5097	2967	3432	3364	3327	3667	3843	3935	2919	3331	3182	3519	3329	3061	2263	1877	2018
速度与激情7	9246	12840	11083	6823	6724	6705	6632	8455	11558	9479	5987	6322	5873	5926	7168	9589	9687	7814	7797	8624	11152	10409	8806	7052	6577	6486
蜘蛛侠	9142	15198	12980	6133	5692	5714	5721	8197	13089	10733	5047	4976	5537	5049	6879	10227	9875	6399	7126	8335	10830	9472	7736	5286	4584	4680
北京遇上西雅图	9106	11606	9512	4741	4209	4325	4264	5363	7412	5441	3233	3318	3199	3163	3588	4177	5243	3230	3305	3461	4122	3838	4326	3429	2356	2365
殭电视剧	9100	8178	6510	3703	2178																					
恶棍天使	9058	15777	12024	5388	5266	6968	13371	24253	34341	27982	11365	11719	11413	9726	15566	23640	19461	12362	11319	16516	23696	19721	14721	8563	7485	7319
美国队长3国语版	8992	12754	8875	4376	3649	3202	2916	3403	5246	3550		1645	1767		2189	3342	2947	2218		2276	2566					
